
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Computer Science Engineering,B. Tech.,473,44 %,47 %,40 %,47 %,25 %,27 %,00 %,
Mechanical Engineering,B. Tech.,473,47 %,53 %,67 %,20 %,60 %,20 %,00 %,
Computer Science Engineering,B. Tech.,473,47 %,47 %,47 %,47 %,25 %,27 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,473,44 %,60 %,27 %,47 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,40 %,40 %,53 %,50 %,60 %,20 %,
Electrical Engineering,B. Tech.,473,40 %,53 %,33 %,33 %,30 %,33 %,20 %,
Electrical Engineering,B. Tech.,473,44 %,33 %,60 %,40 %,55 %,20 %,00 %,
Electrical Engineering,B. Tech.,473,47 %,47 %,67 %,27 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,470,47 %,60 %,60 %,20 %,40 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,42 %,47 %,27 %,53 %,30 %,60 %,00 %,
Mechanical Engineering,B. Tech.,470,47 %,27 %,60 %,53 %,50 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,47 %,40 %,47 %,53 %,30 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,470,42 %,60 %,40 %,27 %,45 %,53 %,00 %,
Mechanical Engineering,B. Tech.,470,44 %,40 %,47 %,47 %,50 %,47 %,00 %,
Mechanical Engineering,B. Tech.,467,40 %,60 %,33 %,27 %,75 %,47 %,00 %,
Mechanical Engineering,B. Tech.,467,44 %,67 %,13 %,53 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,467,44 %,47 %,33 %,53 %,35 %,53 %,00 %,
Electrical Engineering,B. Tech.,467,42 %,27 %,40 %,60 %,60 %,20 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,40 %,20 %,67 %,35 %,47 %,20 %,
Electrical Engineering,B. Tech.,467,42 %,53 %,20 %,53 %,50 %,33 %,20 %,
Information Technology,B. Tech.,467,44 %,53 %,47 %,33 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,53 %,20 %,53 %,60 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,60 %,13 %,53 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,33 %,33 %,60 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,40 %,27 %,60 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,60 %,33 %,33 %,45 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,464,42 %,67 %,13 %,47 %,20 %,40 %,00 %,
Mechanical Engineering,B. Tech.,461,42 %,47 %,40 %,40 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,461,47 %,40 %,53 %,47 %,55 %,13 %,00 %,
Applied Electronics and Instrumentation,B. Tech.,461,42 %,53 %,13 %,60 %,50 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,40 %,33 %,47 %,50 %,33 %,00 %,
Information Technology,B. Tech.,461,40 %,53 %,20 %,47 %,40 %,60 %,20 %,
Mechanical Engineering,B. Tech.,461,44 %,27 %,87 %,20 %,60 %,33 %,00 %,
Electrical Engineering,B. Tech.,458,42 %,60 %,00 %,67 %,50 %,20 %,00 %,
Mechanical Engineering,B. Tech.,458,40 %,53 %,40 %,27 %,45 %,20 %,00 %,
