
Branch,Degree,Score/800,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placement Status
Electrical Engineering,B. Tech.,392,29 %,33 %,20 %,33 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,27 %,13 %,40 %,27 %,30 %,27 %,00 %,
Mechanical Engineering,B. Tech.,389,29 %,20 %,40 %,27 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,389,29 %,13 %,33 %,40 %,20 %,40 %,00 %,
Electrical Engineering,B. Tech.,389,27 %,33 %,20 %,27 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,386,27 %,47 %,07 %,27 %,30 %,27 %,00 %,
Civil Engineering,B. Tech.,386,24 %,47 %,07 %,20 %,35 %,33 %,00 %,
Mechanical Engineering,B. Tech.,380,27 %,33 %,20 %,27 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,380,24 %,27 %,20 %,27 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,380,27 %,40 %,20 %,20 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,380,27 %,27 %,27 %,27 %,15 %,33 %,00 %,
Mechanical Engineering,B. Tech.,377,24 %,47 %,00 %,27 %,40 %,20 %,00 %,
Mechanical Engineering,B. Tech.,371,24 %,13 %,47 %,13 %,40 %,27 %,00 %,
Mechanical Engineering,B. Tech.,371,24 %,20 %,20 %,33 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,371,22 %,00 %,27 %,40 %,25 %,27 %,00 %,
Civil Engineering,B. Tech.,368,22 %,53 %,00 %,13 %,40 %,27 %,00 %,
Civil Engineering,B. Tech.,365,24 %,33 %,20 %,20 %,35 %,20 %,00 %,
Mechanical Engineering,B. Tech.,359,22 %,27 %,00 %,40 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,353,20 %,27 %,07 %,27 %,30 %,13 %,00 %,
Mechanical Engineering,B. Tech.,353,22 %,40 %,13 %,13 %,25 %,40 %,00 %,
Mechanical Engineering,B. Tech.,338,18 %,47 %,00 %,07 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,335,18 %,00 %,27 %,27 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,332,18 %,13 %,20 %,20 %,20 %,33 %,00 %,
Civil Engineering,B. Tech.,329,18 %,07 %,00 %,47 %,30 %,33 %,00 %,
Civil Engineering,B. Tech.,323,16 %,13 %,27 %,07 %,60 %,27 %,00 %,
Electrical Engineering,B. Tech.,320,13 %,27 %,00 %,13 %,35 %,13 %,00 %,
Computer Science Engineering,B. Tech.,320,16 %,33 %,00 %,13 %,20 %,47 %,00 %,
Mechanical Engineering,B. Tech.,305,13 %,33 %,00 %,07 %,35 %,20 %,00 %,
Computer Science Engineering,B. Tech.,272,07 %,20 %,00 %,00 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,542,64 %,67 %,53 %,73 %,25 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,518,56 %,67 %,40 %,60 %,45 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,512,60 %,73 %,47 %,60 %,20 %,20 %,00 %,
Civil Engineering,B. Tech.,509,56 %,47 %,60 %,60 %,55 %,20 %,00 %,
Civil Engineering,B. Tech.,497,51 %,53 %,40 %,60 %,25 %,60 %,00 %,
Civil Engineering,B. Tech.,494,49 %,73 %,13 %,60 %,30 %,40 %,00 %,
Electrical Engineering,B. Tech.,494,49 %,40 %,40 %,67 %,45 %,20 %,00 %,
Civil Engineering,B. Tech.,494,60 %,67 %,47 %,67 %,25 %,47 %,00 %,
Civil Engineering,B. Tech.,485,47 %,33 %,33 %,73 %,45 %,40 %,00 %,
Computer Science Engineering,B. Tech.,482,49 %,73 %,40 %,33 %,30 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,49 %,53 %,27 %,67 %,15 %,27 %,00 %,
Civil Engineering,B. Tech.,479,44 %,60 %,27 %,47 %,50 %,13 %,00 %,
Civil Engineering,B. Tech.,479,53 %,60 %,47 %,53 %,25 %,20 %,00 %,
Civil Engineering,B. Tech.,479,47 %,60 %,33 %,47 %,35 %,20 %,00 %,
Electrical Engineering,B. Tech.,476,51 %,53 %,40 %,60 %,20 %,20 %,00 %,
Civil Engineering,B. Tech.,473,42 %,60 %,33 %,33 %,40 %,13 %,00 %,
Computer Science Engineering,B. Tech.,473,47 %,47 %,40 %,53 %,25 %,53 %,00 %,
Electrical Engineering,B. Tech.,467,44 %,47 %,53 %,33 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,467,42 %,73 %,07 %,47 %,25 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,44 %,33 %,33 %,67 %,40 %,60 %,00 %,
Electrical Engineering,B. Tech.,461,44 %,40 %,40 %,53 %,25 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,42 %,40 %,27 %,60 %,15 %,47 %,00 %,
Electrical Engineering,B. Tech.,458,44 %,60 %,20 %,53 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,49 %,67 %,33 %,47 %,35 %,13 %,00 %,
Electrical Engineering,B. Tech.,458,44 %,47 %,33 %,53 %,15 %,53 %,00 %,
Computer Science Engineering,B. Tech.,458,44 %,60 %,40 %,33 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,455,40 %,47 %,20 %,53 %,05 %,20 %,00 %,
Electrical Engineering,B. Tech.,455,42 %,27 %,53 %,47 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,27 %,47 %,47 %,25 %,40 %,00 %,
Civil Engineering,B. Tech.,452,40 %,40 %,53 %,27 %,35 %,47 %,00 %,
Civil Engineering,B. Tech.,452,38 %,33 %,40 %,40 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,452,42 %,27 %,60 %,40 %,15 %,20 %,00 %,
Electrical Engineering,B. Tech.,449,47 %,47 %,40 %,53 %,20 %,27 %,00 %,
Civil Engineering,B. Tech.,449,40 %,33 %,33 %,53 %,35 %,27 %,00 %,
Civil Engineering,B. Tech.,449,40 %,53 %,20 %,47 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,443,38 %,40 %,27 %,47 %,30 %,27 %,00 %,
Civil Engineering,B. Tech.,443,40 %,33 %,40 %,47 %,35 %,40 %,00 %,
Computer Science Engineering,B. Tech.,443,40 %,53 %,07 %,60 %,25 %,33 %,00 %,
Civil Engineering,B. Tech.,440,38 %,53 %,27 %,33 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,437,36 %,40 %,13 %,53 %,40 %,33 %,00 %,
Computer Science Engineering,B. Tech.,434,40 %,53 %,40 %,27 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,38 %,27 %,33 %,53 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,434,38 %,47 %,13 %,53 %,35 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,36 %,53 %,13 %,40 %,30 %,47 %,00 %,
Civil Engineering,B. Tech.,431,38 %,33 %,40 %,40 %,35 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,431,38 %,40 %,47 %,27 %,25 %,40 %,20 %,
Electrical Engineering,B. Tech.,431,38 %,33 %,40 %,40 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,431,36 %,27 %,20 %,60 %,30 %,13 %,00 %,
Electrical Engineering,B. Tech.,431,40 %,33 %,33 %,53 %,20 %,47 %,00 %,
Civil Engineering,B. Tech.,428,38 %,33 %,33 %,47 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,428,40 %,53 %,33 %,33 %,20 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,428,36 %,40 %,47 %,20 %,45 %,40 %,20 %,
Electrical Engineering,B. Tech.,428,36 %,27 %,27 %,53 %,20 %,27 %,00 %,
Electrical Engineering,B. Tech.,425,38 %,33 %,40 %,40 %,20 %,20 %,00 %,
Civil Engineering,B. Tech.,422,38 %,47 %,40 %,27 %,60 %,33 %,00 %,
Electrical Engineering,B. Tech.,422,36 %,27 %,33 %,47 %,15 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,419,38 %,33 %,27 %,53 %,15 %,13 %,00 %,
Electrical Engineering,B. Tech.,416,33 %,33 %,33 %,33 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,416,33 %,33 %,33 %,33 %,15 %,33 %,00 %,
Electrical Engineering,B. Tech.,413,33 %,53 %,13 %,33 %,25 %,07 %,00 %,
Electrical Engineering,B. Tech.,413,36 %,40 %,20 %,47 %,45 %,33 %,00 %,
Civil Engineering,B. Tech.,413,31 %,47 %,13 %,33 %,40 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,413,31 %,33 %,20 %,40 %,45 %,20 %,00 %,
Electrical Engineering,B. Tech.,413,33 %,40 %,33 %,27 %,15 %,33 %,00 %,
Civil Engineering,B. Tech.,410,36 %,40 %,27 %,40 %,20 %,13 %,00 %,
Civil Engineering,B. Tech.,410,31 %,20 %,27 %,47 %,45 %,33 %,00 %,
Electrical Engineering,B. Tech.,410,33 %,33 %,20 %,47 %,20 %,27 %,00 %,
Civil Engineering,B. Tech.,407,31 %,33 %,20 %,40 %,45 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,407,31 %,27 %,27 %,40 %,20 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,404,33 %,07 %,47 %,47 %,20 %,27 %,00 %,
Electrical Engineering,B. Tech.,404,31 %,33 %,20 %,40 %,30 %,20 %,00 %,
Civil Engineering,B. Tech.,404,33 %,33 %,27 %,40 %,30 %,07 %,00 %,
Electrical Engineering,B. Tech.,401,33 %,27 %,40 %,33 %,25 %,20 %,00 %,
Electrical Engineering,B. Tech.,401,31 %,20 %,07 %,67 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,398,31 %,33 %,13 %,47 %,30 %,20 %,00 %,
Civil Engineering,B. Tech.,398,31 %,27 %,20 %,47 %,35 %,40 %,00 %,
Civil Engineering,B. Tech.,395,29 %,20 %,20 %,47 %,30 %,13 %,00 %,
Civil Engineering,B. Tech.,392,29 %,27 %,27 %,33 %,35 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,389,27 %,40 %,20 %,20 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,383,27 %,20 %,13 %,47 %,45 %,53 %,00 %,
Electrical Engineering,B. Tech.,383,27 %,13 %,20 %,47 %,30 %,13 %,00 %,
Computer Science Engineering,B. Tech.,383,24 %,07 %,40 %,27 %,45 %,47 %,56 %,
Civil Engineering,B. Tech.,377,24 %,07 %,40 %,27 %,55 %,33 %,00 %,
Civil Engineering,B. Tech.,365,24 %,27 %,20 %,27 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,359,24 %,33 %,20 %,20 %,45 %,33 %,00 %,
Civil Engineering,B. Tech.,353,22 %,20 %,20 %,27 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,353,22 %,47 %,07 %,13 %,30 %,40 %,00 %,
Civil Engineering,B. Tech.,332,18 %,13 %,13 %,27 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,593,71 %,60 %,60 %,93 %,30 %,47 %,60 %,Placed
Computer Science Engineering,B. Tech.,590,64 %,93 %,40 %,60 %,60 %,47 %,60 %,Placed
Information Technology,B. Tech.,575,73 %,80 %,53 %,87 %,40 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,563,67 %,60 %,87 %,53 %,40 %,40 %,56 %,
Electronics and Communications Engineering,B. Tech.,557,73 %,53 %,93 %,73 %,30 %,40 %,20 %,
Computer Science Engineering,B. Tech.,557,69 %,73 %,73 %,60 %,45 %,33 %,20 %,
Electronics and Communications Engineering,B. Tech.,554,62 %,73 %,47 %,67 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,551,64 %,80 %,40 %,73 %,45 %,33 %,00 %,
Computer Science Engineering,B. Tech.,548,53 %,67 %,53 %,40 %,40 %,47 %,96 %,
Computer Science Engineering,B. Tech.,548,60 %,73 %,53 %,53 %,50 %,40 %,20 %,
Computer Science Engineering,B. Tech.,545,67 %,67 %,40 %,93 %,65 %,40 %,20 %,
Information Technology,B. Tech.,545,67 %,60 %,60 %,80 %,50 %,27 %,00 %,
Computer Science Engineering,B. Tech.,542,69 %,87 %,40 %,80 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,542,62 %,73 %,27 %,87 %,40 %,27 %,00 %,
Information Technology,B. Tech.,542,62 %,73 %,40 %,73 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,539,58 %,67 %,40 %,67 %,35 %,40 %,00 %,
Computer Science Engineering,B. Tech.,536,53 %,67 %,47 %,47 %,35 %,60 %,20 %,
Electronics and Communications Engineering,B. Tech.,536,62 %,53 %,60 %,73 %,45 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,533,62 %,47 %,60 %,80 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,533,60 %,93 %,27 %,60 %,50 %,40 %,00 %,
Electrical Engineering,B. Tech.,530,58 %,60 %,60 %,53 %,40 %,47 %,00 %,
Electrical Engineering,B. Tech.,527,60 %,73 %,40 %,67 %,45 %,47 %,00 %,
Information Technology,B. Tech.,527,56 %,60 %,33 %,73 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,527,58 %,87 %,53 %,33 %,30 %,47 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,527,58 %,73 %,53 %,47 %,40 %,47 %,20 %,
Electrical Engineering,B. Tech.,524,60 %,53 %,67 %,60 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,524,58 %,60 %,60 %,53 %,50 %,60 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,524,62 %,60 %,60 %,67 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,524,58 %,53 %,60 %,60 %,60 %,33 %,00 %,
Information Technology,B. Tech.,521,56 %,60 %,60 %,47 %,45 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,521,58 %,80 %,40 %,53 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,521,60 %,80 %,33 %,67 %,15 %,27 %,00 %,
Information Technology,B. Tech.,521,64 %,60 %,60 %,73 %,35 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,521,56 %,53 %,40 %,73 %,45 %,27 %,00 %,
Electrical Engineering,B. Tech.,521,53 %,33 %,47 %,80 %,20 %,53 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,521,60 %,40 %,47 %,93 %,40 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,518,56 %,87 %,13 %,67 %,40 %,13 %,00 %,
Electrical Engineering,B. Tech.,518,53 %,67 %,47 %,47 %,45 %,27 %,20 %,
Electrical Engineering,B. Tech.,518,53 %,47 %,40 %,73 %,40 %,47 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,518,56 %,67 %,47 %,53 %,35 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,515,53 %,47 %,47 %,67 %,55 %,53 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,515,64 %,73 %,60 %,60 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,515,44 %,73 %,20 %,40 %,65 %,60 %,56 %,
Electrical Engineering,B. Tech.,515,58 %,87 %,40 %,47 %,35 %,33 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,515,53 %,73 %,40 %,47 %,40 %,47 %,00 %,
Computer Science Engineering,B. Tech.,512,53 %,67 %,20 %,73 %,40 %,13 %,20 %,
Electronics and Communications Engineering,B. Tech.,512,53 %,60 %,40 %,60 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,51 %,40 %,47 %,67 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,51 %,40 %,47 %,67 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,56 %,53 %,47 %,67 %,25 %,27 %,00 %,
Information Technology,B. Tech.,509,53 %,87 %,20 %,53 %,35 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,509,53 %,47 %,40 %,73 %,30 %,53 %,00 %,
Electrical Engineering,B. Tech.,509,56 %,73 %,47 %,47 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,506,53 %,87 %,27 %,47 %,30 %,27 %,00 %,
Electrical Engineering,B. Tech.,506,53 %,53 %,33 %,73 %,25 %,20 %,00 %,
Computer Science Engineering,B. Tech.,503,49 %,53 %,33 %,60 %,45 %,33 %,20 %,
Electrical Engineering,B. Tech.,503,53 %,67 %,20 %,73 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,51 %,60 %,60 %,33 %,30 %,33 %,20 %,
Electrical Engineering,B. Tech.,503,51 %,47 %,53 %,53 %,45 %,27 %,00 %,
Computer Science Engineering,B. Tech.,503,49 %,60 %,27 %,60 %,45 %,47 %,20 %,
Electrical Engineering,B. Tech.,503,51 %,73 %,27 %,53 %,35 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,503,53 %,67 %,27 %,67 %,35 %,27 %,00 %,
Information Technology,B. Tech.,500,53 %,47 %,53 %,60 %,40 %,53 %,00 %,
Information Technology,B. Tech.,500,51 %,60 %,47 %,47 %,10 %,40 %,00 %,
Computer Science Engineering,B. Tech.,497,49 %,47 %,53 %,47 %,40 %,27 %,20 %,
Electrical Engineering,B. Tech.,497,56 %,33 %,73 %,60 %,20 %,27 %,00 %,
Computer Science Engineering,B. Tech.,497,47 %,53 %,40 %,47 %,40 %,40 %,20 %,
Electronics and Communications Engineering,B. Tech.,497,53 %,47 %,47 %,67 %,45 %,33 %,00 %,
Information Technology,B. Tech.,497,58 %,40 %,53 %,80 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,497,51 %,60 %,27 %,67 %,50 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,494,49 %,53 %,33 %,60 %,35 %,13 %,00 %,
Electrical Engineering,B. Tech.,494,51 %,53 %,53 %,47 %,45 %,20 %,00 %,
Computer Science Engineering,B. Tech.,494,49 %,53 %,60 %,33 %,40 %,60 %,00 %,
Information Technology,B. Tech.,494,49 %,87 %,20 %,40 %,30 %,47 %,00 %,
Computer Science Engineering,B. Tech.,494,49 %,40 %,53 %,53 %,35 %,47 %,00 %,
Computer Science Engineering,B. Tech.,494,51 %,47 %,60 %,47 %,50 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,49 %,60 %,20 %,67 %,45 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,44 %,60 %,20 %,53 %,50 %,53 %,00 %,
Information Technology,B. Tech.,491,49 %,67 %,33 %,47 %,20 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,491,53 %,20 %,80 %,60 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,51 %,67 %,40 %,47 %,20 %,40 %,00 %,
Electronics and Communications Engineering,B. Tech.,488,56 %,47 %,53 %,67 %,35 %,33 %,00 %,
Electrical Engineering,B. Tech.,488,47 %,60 %,27 %,53 %,40 %,40 %,00 %,
Information Technology,B. Tech.,485,53 %,40 %,73 %,47 %,25 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,49 %,27 %,73 %,47 %,35 %,00 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,485,47 %,53 %,27 %,60 %,55 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,485,44 %,53 %,27 %,53 %,30 %,47 %,00 %,
Computer Science Engineering,B. Tech.,485,49 %,67 %,47 %,33 %,25 %,33 %,00 %,
Electrical Engineering,B. Tech.,485,47 %,67 %,07 %,67 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,485,49 %,47 %,40 %,60 %,20 %,33 %,00 %,
Electrical Engineering,B. Tech.,485,44 %,60 %,47 %,27 %,55 %,27 %,20 %,
Information Technology,B. Tech.,485,47 %,53 %,47 %,40 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,485,47 %,53 %,33 %,53 %,20 %,27 %,00 %,
Electrical Engineering,B. Tech.,485,60 %,47 %,73 %,60 %,25 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,47 %,47 %,47 %,47 %,65 %,40 %,00 %,
Computer Science Engineering,B. Tech.,482,47 %,60 %,20 %,60 %,35 %,33 %,20 %,
Electronics and Instrumentation Engineering,B. Tech.,482,47 %,47 %,47 %,47 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,482,44 %,53 %,33 %,47 %,45 %,40 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,27 %,67 %,47 %,35 %,33 %,00 %,
Information Technology,B. Tech.,479,47 %,53 %,13 %,73 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,479,44 %,73 %,07 %,53 %,25 %,27 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,60 %,47 %,33 %,40 %,33 %,00 %,
Electrical Engineering,B. Tech.,479,49 %,27 %,60 %,60 %,40 %,27 %,00 %,
Electrical Engineering,B. Tech.,479,47 %,47 %,27 %,67 %,35 %,20 %,00 %,
Information Technology,B. Tech.,479,44 %,47 %,33 %,53 %,40 %,27 %,00 %,
Computer Science Engineering,B. Tech.,476,42 %,53 %,33 %,40 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,42 %,73 %,27 %,27 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,476,44 %,53 %,13 %,67 %,55 %,33 %,00 %,
Electrical Engineering,B. Tech.,476,42 %,47 %,20 %,60 %,35 %,33 %,00 %,
Computer Science Engineering,B. Tech.,473,40 %,53 %,20 %,47 %,45 %,47 %,60 %,
Information Technology,B. Tech.,473,44 %,67 %,40 %,27 %,30 %,47 %,00 %,
Electrical Engineering,B. Tech.,473,42 %,53 %,33 %,40 %,30 %,27 %,20 %,
Electronics and Communications Engineering,B. Tech.,473,49 %,53 %,53 %,40 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,473,47 %,60 %,33 %,47 %,40 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,473,44 %,53 %,53 %,27 %,20 %,47 %,00 %,
Electrical Engineering,B. Tech.,470,42 %,47 %,20 %,60 %,30 %,33 %,00 %,
Information Technology,B. Tech.,470,42 %,40 %,40 %,47 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,470,42 %,67 %,33 %,27 %,30 %,33 %,56 %,
Computer Science Engineering,B. Tech.,470,42 %,53 %,20 %,53 %,50 %,53 %,00 %,
Electrical Engineering,B. Tech.,467,42 %,60 %,60 %,07 %,30 %,40 %,20 %,
Electrical Engineering,B. Tech.,467,47 %,53 %,33 %,53 %,25 %,27 %,00 %,
Computer Science Engineering,B. Tech.,467,44 %,27 %,47 %,60 %,30 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,467,42 %,33 %,47 %,47 %,35 %,47 %,00 %,
Computer Science Engineering,B. Tech.,467,44 %,67 %,13 %,53 %,15 %,33 %,20 %,
Information Technology,B. Tech.,464,40 %,33 %,40 %,47 %,35 %,27 %,20 %,
Electrical Engineering,B. Tech.,464,44 %,67 %,00 %,67 %,30 %,20 %,00 %,
Electrical Engineering,B. Tech.,464,42 %,60 %,33 %,33 %,15 %,33 %,00 %,
Electrical Engineering,B. Tech.,461,38 %,53 %,33 %,27 %,40 %,40 %,00 %,
Information Technology,B. Tech.,461,40 %,47 %,33 %,40 %,35 %,27 %,00 %,
Information Technology,B. Tech.,461,38 %,60 %,20 %,33 %,35 %,40 %,20 %,
Computer Science Engineering,B. Tech.,461,44 %,47 %,07 %,80 %,30 %,13 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,461,42 %,33 %,33 %,60 %,30 %,33 %,00 %,
Electrical Engineering,B. Tech.,461,42 %,40 %,67 %,20 %,20 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,40 %,47 %,13 %,60 %,35 %,27 %,00 %,
Electrical Engineering,B. Tech.,461,42 %,40 %,27 %,60 %,70 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,42 %,20 %,47 %,60 %,30 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,47 %,40 %,40 %,60 %,25 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,461,42 %,60 %,40 %,27 %,25 %,27 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,461,42 %,47 %,33 %,47 %,40 %,20 %,00 %,
Electronics and Instrumentation Engineering,B. Tech.,458,40 %,40 %,33 %,47 %,45 %,13 %,00 %,
Electrical Engineering,B. Tech.,458,40 %,47 %,20 %,53 %,45 %,53 %,00 %,
Electrical Engineering,B. Tech.,458,44 %,60 %,40 %,33 %,45 %,53 %,00 %,
Computer Science Engineering,B. Tech.,458,49 %,60 %,33 %,53 %,20 %,13 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,40 %,53 %,27 %,40 %,30 %,33 %,00 %,
Computer Science Engineering,B. Tech.,458,42 %,67 %,40 %,20 %,20 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,458,44 %,53 %,27 %,53 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,40 %,67 %,13 %,40 %,70 %,20 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,42 %,67 %,20 %,40 %,05 %,07 %,00 %,
Electronics and Communications Engineering,B. Tech.,455,38 %,47 %,27 %,40 %,50 %,33 %,00 %,
Computer Science Engineering,B. Tech.,455,40 %,27 %,47 %,47 %,35 %,40 %,40 %,
Electronics and Communications Engineering,B. Tech.,452,42 %,67 %,27 %,33 %,55 %,27 %,00 %,
Electrical Engineering,B. Tech.,452,38 %,33 %,47 %,33 %,35 %,47 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,42 %,60 %,40 %,27 %,50 %,13 %,00 %,
Electrical Engineering,B. Tech.,452,38 %,33 %,27 %,53 %,20 %,20 %,00 %,
Electrical Engineering,B. Tech.,452,38 %,67 %,20 %,27 %,35 %,33 %,00 %,
Electronics and Communications Engineering,B. Tech.,452,38 %,53 %,13 %,47 %,30 %,20 %,00 %,
Computer Science Engineering,B. Tech.,452,40 %,40 %,40 %,40 %,25 %,47 %,00 %,
Electrical Engineering,B. Tech.,449,38 %,40 %,20 %,53 %,25 %,27 %,00 %,
Electronics and Communications Engineering,B. Tech.,449,42 %,20 %,73 %,33 %,35 %,33 %,00 %,
